,加油日期,車牌號碼,實際會去的加油站,記錄時間點,加油公升數
10205,2017/12/1,SQ-4233,47,17:33,29.17924123
7960,2017/12/1,KL-9176,50,07:22,29.2434301
14750,2017/12/1,OB-7635,4,08:14,23.76334953
13841,2017/12/1,QK-9247,9,10:06,32.33479922
13781,2017/12/1,QH-3840,52,17:00,29.68704751
2894,2017/12/1,JW-6538,50,06:18,29.38115921
10695,2017/12/1,FZ-6193,55,18:45,38.49463733
14899,2017/12/1,DC-7272,15,11:42,34.79546741
6799,2017/12/1,AL-3007,1,09:08,39.86208259
9327,2017/12/1,UZ-5285,12,07:10,32.97358034
3258,2017/12/1,ZJ-7320,20,15:47,30.30514201
6002,2017/12/1,XY-7330,15,22:23,30.3439555
14875,2017/12/1,NF-6197,13,16:25,29.45539626
5276,2017/12/1,TO-9831,35,12:44,27.01569574
10058,2017/12/1,XB-9648,53,11:16,30.31483541
5473,2017/12/1,NK-4493,54,03:03,31.57242657
12269,2017/12/1,OK-5603,52,09:33,28.01807157
13453,2017/12/1,YT-5856,38,06:42,30.42338249
11120,2017/12/1,RF-4735,45,09:45,33.04734059
6962,2017/12/1,GV-4301,30,23:59,27.12862952
13523,2017/12/1,ML-3403,23,15:54,26.55994171
12476,2017/12/1,NS-6360,5,11:35,38.41163119
5957,2017/12/1,UR-2333,38,13:42,28.97348286
14763,2017/12/1,CS-9450,56,06:20,24.07251052
5735,2017/12/1,AJ-2134,49,13:56,34.41562036
10156,2017/12/1,LH-8866,47,17:03,24.88884185
11590,2017/12/1,FK-1518,30,04:08,31.0087671
6298,2017/12/1,FZ-8610,55,03:39,28.84473385
10231,2017/12/1,YU-1169,7,01:24,24.51188353
14974,2017/12/1,KR-1767,17,10:36,28.40255277
8638,2017/12/1,WV-6647,18,04:05,28.16050606
9243,2017/12/1,XS-5745,52,10:25,30.31929859
7540,2017/12/1,GW-2150,50,23:34,32.20382538
9296,2017/12/1,DR-5478,19,08:33,30.2610526
14140,2017/12/1,ZY-8109,56,11:34,28.05038418
6978,2017/12/1,TR-8748,4,12:02,35.03829941
2117,2017/12/1,IR-9242,26,00:35,35.71563136
307,2017/12/1,FA-6888,38,19:10,29.87936127
3344,2017/12/1,CW-5573,13,17:22,30.08864879
3449,2017/12/1,VS-5001,39,14:58,24.50809098
5282,2017/12/1,JX-8224,15,01:13,34.27848701
2089,2017/12/1,AT-8856,23,22:51,33.00513745
11624,2017/12/1,XV-9979,12,09:30,34.40570978
12530,2017/12/1,IO-6046,38,23:25,27.33968398
4911,2017/12/1,BD-9515,40,13:49,24.83104619
13475,2017/12/1,GX-2586,39,07:08,27.05214924
13677,2017/12/1,XD-9598,24,08:21,31.78813859
2500,2017/12/1,KY-1693,39,17:00,29.30322691
11414,2017/12/1,TR-1108,17,09:59,32.47538274
10236,2017/12/1,LW-1636,36,23:48,30.24518328
5656,2017/12/1,GW-6046,13,11:25,34.19223648
4084,2017/12/1,AK-1902,14,11:47,26.95833626
698,2017/12/1,FN-9006,20,20:49,29.54064176
8875,2017/12/1,LJ-9297,50,15:39,29.49421476
13558,2017/12/1,KL-5687,40,02:02,27.80629571
14235,2017/12/1,PS-2019,53,00:57,30.8624075
12916,2017/12/1,ZF-3103,30,14:18,31.0834818
327,2017/12/1,IO-5423,50,18:05,25.00200304
641,2017/12/1,DA-4430,46,23:17,35.52823579
10711,2017/12/1,LI-1957,10,02:45,31.77098426
7781,2017/12/1,ZD-5128,10,03:04,32.09343376
7388,2017/12/1,LA-1576,28,16:12,32.45103115
9996,2017/12/1,IU-3614,9,17:01,26.00003942
527,2017/12/1,PF-3008,53,02:08,27.56313733
8129,2017/12/1,EL-4036,34,01:00,25.28269401
11265,2017/12/1,KL-8434,20,22:11,28.9307325
11167,2017/12/1,RA-8091,37,19:32,29.2954868
3892,2017/12/1,LW-3741,10,13:16,28.14280363
1798,2017/12/1,XF-4832,23,13:27,27.75374612
12110,2017/12/1,OM-3247,16,23:56,28.25937976
2654,2017/12/1,SC-6626,18,05:44,20.82011704
11609,2017/12/1,WZ-6879,13,07:25,31.02033199
4055,2017/12/1,VI-1341,50,00:11,29.69210253
14548,2017/12/1,VB-5458,37,04:33,31.39888514
5109,2017/12/1,BW-6063,1,05:06,31.25692901
8390,2017/12/1,GD-4655,10,17:09,34.50729054
10178,2017/12/1,YL-4551,47,15:18,33.27135865
3063,2017/12/1,TS-9698,35,01:46,36.39807304
4298,2017/12/1,CF-4713,46,04:50,33.08147949
12533,2017/12/1,PF-6819,15,22:02,23.42532142
14827,2017/12/1,GR-5748,5,22:39,26.92865869
10480,2017/12/1,IY-5128,53,08:53,23.01334312
4466,2017/12/1,EM-4931,55,04:51,29.93504482
649,2017/12/1,EK-9101,3,10:20,30.32693572
978,2017/12/1,QX-1007,8,09:16,33.83057895
5690,2017/12/1,TW-1535,52,15:42,31.08644372
62,2017/12/1,FL-9965,24,22:04,27.23216897
278,2017/12/1,LT-5886,26,02:01,32.13829569
336,2017/12/1,FN-7178,7,16:50,36.83349328
8610,2017/12/1,GN-5971,40,09:03,32.83843706
4897,2017/12/1,SG-4540,5,09:04,29.32641285
12191,2017/12/1,QM-2692,21,07:28,28.36049793
6171,2017/12/1,ET-9677,9,01:06,34.44389039
10235,2017/12/1,RE-3136,56,02:13,33.38046095
12639,2017/12/1,OW-4662,30,00:38,27.96051398
12841,2017/12/1,IO-9626,52,23:29,25.88171844
11919,2017/12/1,TO-5438,39,15:52,33.99879437
12375,2017/12/1,HJ-2290,56,20:57,36.29752949
12149,2017/12/1,YD-4156,37,09:51,36.03204535
9974,2017/12/1,TN-3362,49,20:26,33.32427917
6211,2017/12/1,PY-3858,43,05:11,36.94750515
5215,2017/12/1,JU-7575,58,17:31,39.62563667
13674,2017/12/1,GN-2318,46,14:25,28.29491554
4253,2017/12/1,CZ-1276,41,23:04,35.56221113
13946,2017/12/1,SH-7147,21,22:17,24.55136656
2208,2017/12/1,UU-5630,13,10:00,28.45756459
10551,2017/12/1,XV-5228,10,18:07,27.54879079
7779,2017/12/1,IS-6604,15,08:47,30.15705965
35,2017/12/1,QZ-5058,1,07:17,27.67915482
4862,2017/12/1,LI-7141,56,07:07,35.4839254
10634,2017/12/1,RS-4285,15,15:28,30.96703073
14021,2017/12/1,ME-7328,18,20:34,25.17351446
7561,2017/12/1,RA-1249,15,22:07,29.21841503
8905,2017/12/1,WF-4486,28,16:36,32.39543734
1877,2017/12/1,OH-1275,29,12:16,29.1661173
14795,2017/12/1,FF-4309,25,22:12,34.87349735
11471,2017/12/1,AN-2788,10,04:11,29.38181419
7584,2017/12/1,SW-9291,52,10:23,27.26682825
12462,2017/12/1,CE-8321,42,17:23,33.16123071
8512,2017/12/1,DQ-2218,32,08:12,36.07038451
6703,2017/12/1,UL-6143,23,14:44,25.22838617
919,2017/12/1,NC-2695,40,17:34,29.75137709
2853,2017/12/1,BN-4281,3,01:08,28.5821783
5772,2017/12/1,VG-4519,39,09:21,27.51719539
13532,2017/12/1,JB-4678,40,01:33,31.27927934
3241,2017/12/1,EI-4531,2,04:33,28.88013455
10778,2017/12/1,EP-7217,53,18:20,32.81796867
8103,2017/12/1,CC-4287,57,08:24,34.04507939
1912,2017/12/1,XI-9477,46,17:57,34.99099431
2569,2017/12/1,NB-6698,36,02:48,29.88106227
13113,2017/12/1,OY-5234,33,08:49,28.89807909
8817,2017/12/1,XG-4424,51,22:26,36.92355313
13057,2017/12/1,NL-9575,19,22:03,29.77361836
11529,2017/12/1,PG-9068,36,16:00,32.36824839
1862,2017/12/1,NQ-2586,8,02:34,27.99072956
12968,2017/12/1,IV-2579,38,16:23,30.72482032
10286,2017/12/1,SZ-9063,47,01:01,31.75511708
7378,2017/12/1,JP-6206,37,09:38,23.72380627
6770,2017/12/1,UE-3484,28,14:32,23.77305965
2224,2017/12/1,WF-2765,38,12:06,23.0782351
4635,2017/12/1,IO-8814,2,01:59,34.82001793
4216,2017/12/1,FW-6084,33,21:44,23.13251651
5409,2017/12/1,DC-3773,19,06:21,29.63231477
9993,2017/12/1,KA-9880,22,15:21,31.94340988
9795,2017/12/1,UI-9970,55,21:05,32.53400211
12407,2017/12/1,VD-9489,49,19:26,34.40212662
13620,2017/12/1,UQ-7037,3,08:52,30.66047812
10857,2017/12/1,RT-4422,3,11:15,24.83939669
9108,2017/12/1,WR-6046,1,10:12,21.32761111
8256,2017/12/1,WY-3438,55,18:05,30.48368288
1046,2017/12/1,CL-9457,25,17:55,28.45724545
7544,2017/12/1,KE-9803,8,03:51,32.8088741
14145,2017/12/1,HP-1009,14,14:27,23.35737481
6708,2017/12/1,MM-1575,19,14:07,27.3198738
12713,2017/12/1,MY-7702,25,07:20,32.57978925
9089,2017/12/1,IK-7710,3,04:38,28.52997292
9524,2017/12/1,KS-6233,58,20:30,25.02412191
1640,2017/12/1,FI-3067,19,12:35,26.69831238
5897,2017/12/1,ON-9594,25,04:53,27.52917575
1849,2017/12/1,US-9515,17,01:22,33.08886964
4227,2017/12/1,CP-6402,17,23:30,31.6191788
3856,2017/12/1,HN-8706,21,03:10,26.71634781
9155,2017/12/1,OA-5476,37,01:06,25.18980887
9119,2017/12/1,OT-9292,25,22:22,27.47878243
13258,2017/12/1,JR-4684,37,16:51,36.33775862
2379,2017/12/1,OW-2836,38,15:22,26.11552015
13471,2017/12/1,PJ-8423,26,21:40,29.13289542
1074,2017/12/1,UZ-4131,34,12:00,26.2526654
4543,2017/12/1,EP-1989,38,11:27,25.70883021
12354,2017/12/1,XB-4800,15,01:17,23.60921356
9634,2017/12/1,GW-4439,47,16:05,33.46517339
5557,2017/12/1,OM-5902,53,16:58,31.19662596
12007,2017/12/1,JJ-1299,53,00:48,29.20248373
7608,2017/12/1,YX-8043,11,00:55,33.5376816
6201,2017/12/1,IC-3866,1,00:51,22.32105847
11559,2017/12/1,PC-8795,29,04:12,30.64002254
13848,2017/12/1,TZ-8438,55,12:51,30.90650358
14553,2017/12/1,YM-9720,20,10:38,23.76529111
8138,2017/12/1,SH-7308,32,07:56,27.88408334
3895,2017/12/1,EY-1809,51,00:19,31.97444291
7319,2017/12/1,NR-9482,42,10:20,30.53515523
7386,2017/12/1,ME-3052,41,04:50,29.83539151
6826,2017/12/1,TY-7308,57,00:22,34.96220776
8206,2017/12/1,QJ-5248,6,14:10,42.24535688
13501,2017/12/1,TJ-3588,9,21:40,27.93238066
11479,2017/12/1,WG-8961,2,11:16,30.07540801
8800,2017/12/1,NM-6441,31,19:02,35.02087321
4430,2017/12/1,NS-5821,51,12:18,32.56210952
2990,2017/12/1,KQ-2250,25,13:09,25.89233092
2398,2017/12/1,EW-9534,31,16:09,27.08454871
12025,2017/12/1,JR-1270,56,01:39,36.6910067
8723,2017/12/1,DF-9605,55,08:02,32.76760844
5583,2017/12/1,TV-9260,49,06:17,31.48726384
8952,2017/12/1,RX-7144,16,14:54,36.59178553
3540,2017/12/1,TL-2200,38,10:08,29.35478636
14423,2017/12/1,DI-3685,58,18:32,32.35076733
5740,2017/12/1,WQ-2622,15,22:23,32.59368754
363,2017/12/1,AH-2259,52,04:24,24.65618382
123,2017/12/1,TQ-7925,33,05:33,28.49273781
14519,2017/12/1,UQ-1330,37,01:34,26.95973271
12672,2017/12/1,OD-7631,44,03:26,38.80619166
7078,2017/12/1,WN-4875,40,12:57,15.09571596
7016,2017/12/1,TM-4302,11,06:30,36.07035149
2611,2017/12/1,CB-8845,45,08:17,31.9000571
3249,2017/12/1,IA-5601,37,18:25,26.96270973
8627,2017/12/1,BP-9965,12,22:50,27.96969802
12218,2017/12/1,KI-3751,14,18:25,33.11802146
12100,2017/12/1,XT-3498,43,22:02,29.28476726
1558,2017/12/1,XU-5975,24,14:21,33.57438947
9148,2017/12/1,FE-2200,20,02:43,30.78380108
9081,2017/12/1,OI-4685,30,01:44,27.23148306
12749,2017/12/1,KN-6868,41,07:18,28.5861495
7613,2017/12/1,QX-9707,44,20:53,29.27158255
14879,2017/12/1,JI-2355,30,06:12,31.19336282
9219,2017/12/1,PH-5525,27,17:15,26.98818506
12275,2017/12/1,TE-2502,36,17:23,26.92284493
3178,2017/12/1,QV-1340,11,16:21,39.56250061
12351,2017/12/1,ET-3569,54,02:07,29.58041386
3534,2017/12/1,UV-9838,15,12:04,27.14882922
7546,2017/12/1,KK-3685,8,04:45,33.05997386
10861,2017/12/1,MT-9534,1,12:10,29.35035073
5835,2017/12/1,XI-1299,49,12:09,30.88398058
2464,2017/12/1,SQ-5781,5,21:11,29.8949181
11260,2017/12/1,CE-9568,8,14:18,33.43003762
8128,2017/12/1,OH-4447,25,05:16,31.12264835
9984,2017/12/1,BP-4784,24,08:00,23.28355785
5052,2017/12/1,HG-9431,54,13:02,30.19601608
12432,2017/12/1,FD-4867,45,10:48,25.8728077
9631,2017/12/1,MZ-3203,41,16:33,31.86377881
11305,2017/12/1,AQ-9128,17,10:06,25.47711381
11759,2017/12/1,ED-8935,50,19:24,39.26321307
11359,2017/12/1,VE-9788,37,07:40,28.87984943
2581,2017/12/1,QY-3810,23,16:19,30.75900929
3912,2017/12/1,VZ-1498,58,11:44,32.70558449
9084,2017/12/1,VY-1485,36,02:03,28.16845852
3770,2017/12/1,MA-4912,19,19:49,28.01083205
12136,2017/12/1,MF-9840,3,07:22,18.8074769
5234,2017/12/1,FK-8228,4,12:25,30.17829614
1654,2017/12/1,XJ-2674,18,22:13,25.56171397
3945,2017/12/1,UT-7314,47,15:45,37.22116705
14712,2017/12/1,YU-5571,40,10:14,21.65590442
11652,2017/12/1,QW-2865,48,03:13,33.37024783
14950,2017/12/1,FV-4423,41,14:43,28.22852612
11647,2017/12/1,UX-6449,38,13:55,29.1079094
7861,2017/12/1,SD-6835,31,06:29,33.80128211
7534,2017/12/1,IC-4839,38,02:06,32.14774404
8487,2017/12/1,WA-9605,47,07:41,24.75700366
6658,2017/12/1,HN-2669,33,23:33,29.07462596
912,2017/12/1,OU-1855,6,04:53,26.04785494
11738,2017/12/1,MS-3060,25,18:59,35.42095158
8401,2017/12/1,HQ-5367,2,15:15,35.06441263
4946,2017/12/1,DH-9775,18,21:21,35.96562499
5554,2017/12/1,QD-8623,32,03:29,34.19622343
4258,2017/12/1,NZ-5013,58,06:18,27.60010165
7714,2017/12/1,RH-7427,11,13:01,31.71124099
14108,2017/12/1,UQ-6067,33,00:04,28.82977104
5352,2017/12/1,DY-3312,34,03:25,20.88844481
10577,2017/12/1,WX-3803,47,02:14,33.14212501
5970,2017/12/1,OV-3827,18,22:14,24.87234474
9534,2017/12/1,RR-8374,11,19:25,27.52946229
9050,2017/12/1,VC-7318,8,10:06,28.96766411
11285,2017/12/1,US-7870,12,14:44,25.47754496
13551,2017/12/1,RG-4512,4,14:02,32.00151736
11603,2017/12/1,MU-4151,37,17:16,34.61073339
14388,2017/12/1,BE-4324,25,08:45,27.64524345
9779,2017/12/1,MN-1418,2,13:58,25.38121299
14711,2017/12/1,GP-3650,42,19:26,29.01585079
12829,2017/12/1,UG-5023,15,00:27,24.94189694
1565,2017/12/1,CV-3640,38,06:38,30.15259275
13768,2017/12/1,OY-7051,52,04:15,36.21411622
9875,2017/12/1,CT-6438,43,19:18,32.37180969
9493,2017/12/1,SW-8782,6,11:04,34.81720326
7033,2017/12/1,BP-5884,45,05:15,26.87544753
4284,2017/12/1,RM-5175,34,22:43,34.06767032
9153,2017/12/1,OZ-5173,46,04:36,29.27371909
4738,2017/12/1,KB-3221,28,08:06,29.06379615
8742,2017/12/1,UG-3969,31,12:13,26.35427951
9208,2017/12/1,EJ-1646,11,01:51,32.6620021
14012,2017/12/1,SB-9236,37,22:22,33.05843742
10609,2017/12/1,UI-1964,58,06:53,32.19576172
1841,2017/12/1,EK-1502,46,17:21,32.41408045
13114,2017/12/1,XQ-2118,39,21:15,30.24595044
13713,2017/12/1,WY-2853,52,19:42,28.94986691
6569,2017/12/1,LX-6265,46,08:26,25.42379208
9477,2017/12/1,GG-6633,42,01:13,32.77540719
7308,2017/12/1,FR-4395,56,15:15,23.7788634
12073,2017/12/1,FC-4532,11,07:13,36.9713327
6724,2017/12/1,SD-3717,52,01:06,24.05097187
5381,2017/12/1,XC-7764,36,21:00,35.74663416
2422,2017/12/1,FU-9901,58,09:10,32.60240938
13466,2017/12/1,GB-2424,48,11:07,19.34413964
14628,2017/12/1,ZG-8651,10,20:15,25.39071023
1306,2017/12/1,JL-1516,40,12:51,30.93283556
10745,2017/12/1,KR-1434,54,09:49,24.46866267
2658,2017/12/1,SK-5406,10,02:03,26.23878745
8096,2017/12/1,DS-9280,22,01:37,37.75573351
7103,2017/12/1,YH-2135,52,01:38,32.31209077
2052,2017/12/1,YI-4408,47,12:06,31.8070572
1890,2017/12/1,MJ-8607,55,15:48,35.96673736
3954,2017/12/1,PX-4182,12,05:43,31.38013716
13928,2017/12/1,WN-3121,15,22:02,31.71948841
7120,2017/12/1,CJ-9207,57,05:32,31.82552004
13522,2017/12/1,XY-3307,49,18:34,27.57653614
5857,2017/12/1,WW-3503,12,17:59,31.03926687
5763,2017/12/1,SA-4322,38,09:21,30.85242805
7209,2017/12/1,GK-4208,1,23:34,31.73911647
14824,2017/12/1,YN-4414,23,10:52,32.46817177
7656,2017/12/1,DN-3854,39,15:04,29.23525111
6644,2017/12/1,OG-3909,23,21:31,31.7244466
6584,2017/12/1,GI-6155,2,08:49,28.87919911
1010,2017/12/1,DJ-5057,54,20:43,30.27662158
1559,2017/12/1,RY-7218,8,08:46,33.47733271
